Número;Mailing;Operador;CNPJ;RAZAO_SOCIAL;"Texto de Integração";Finalizado;Status;Classificação;Subclassificação;"Data que ligou"
11966310425;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65119967000132;"CONTABILEAD SERVICOS ADMINISTRATIVOS LTDA";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
11967214584;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;"Joao Pedro Gabriel Troiano";65174698000107;"JOSE FELIX DE ALMEIDA COMERCIO DE VARIEDADES LTDA";;Sim;Atendido;Improdutiva;ENGANO;"20/02/2026 09:34:09"
11983660954;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65122760000117;"MERCA MIX OUTLET LTDA";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
11984379926;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65170594000124;"PEDRO NOGUEIRA DOS SANTOS JUNIOR";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
11985106645;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65109196000100;"DISTRIBUIDORA DE BEBIDAS E MERCADO SANTANA LTDA";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
11996072647;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65110176000141;"MIDIA CONSULTORIA E SERVICOS EM INFORMATICA INOVA SIMPLES IS";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
11999151158;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65182170000180;"CAIO YUDI NISHIMURA VIEIRA LTDA";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
14996231415;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;"Alan Cruz Silva";65102486000114;"JT SHOP PARTS LTDA";;Sim;Atendido;Improdutiva;"LIGACAO MUDA";"20/02/2026 13:20:06"
14998880818;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65176011000172;"JOAO VITOR SOARES CHICARELI DE ANDRADE";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
16981643038;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65119256000168;"LAISA HELENA DE CASTRO LTDA";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
17991622660;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;"Bruna Tobias Dos Santos";65110386000130;"AZ COMERCIO DIGITAL LTDA";;Sim;Atendido;Improdutiva;"INCLUIR EM LISTA DE BLOQUEIO";"20/02/2026 11:05:09"
19996103871;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65108593000150;"SERGIO LOLLATO ANTONIO";;Sim;Atendido;-;-;"20/02/2026 09:47:02"
21966272244;01-C6_LeadsNovosMes_FEV_ult3dias_20-02-2026;;65180227000101;"KAISER MULTISERV INOVA SIMPLES IS";;Sim;Falhou;-;-;"20/02/2026 13:20:06"
