Número;Mailing;Operador;CNPJ;RAZAO_SOCIAL;"Texto de Integração";Finalizado;Status;Classificação;Subclassificação;"Data que ligou"
61981778607;01-Recadastro_02-03;"Carla Cristina de Lima Kauffmann";64189904000190;RECADASTRO;;Não;"Em Fila";Improdutiva;"LIGACAO MUDA";"02/03/2026 15:40:04"
34999771853;01-Recadastro_02-03;;60915649000164;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:40:04"
68992082438;01-Recadastro_02-03;;49405492000194;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:40:04"
62991961309;01-Recadastro_02-03;;32930172000150;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:16:29"
81996807026;01-Recadastro_02-03;;33025730000104;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 15:47:20"
34991052326;01-Recadastro_02-03;;51020982000114;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 15:40:04"
22998415844;01-Recadastro_02-03;;10513390000157;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:35:02"
81987440608;01-Recadastro_02-03;;13231596000182;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:35:02"
44998387475;01-Recadastro_02-03;;55577421000171;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:42:04"
19993700910;01-Recadastro_02-03;;10472690000135;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:40:04"
81993258249;01-Recadastro_02-03;;52772312000117;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:35:02"
11986654067;01-Recadastro_02-03;;60624975000112;RECADASTRO;;Não;"Em Fila";Improdutiva;"LIGACAO MUDA";"02/03/2026 15:38:31"
46999266562;01-Recadastro_02-03;"Ana Beatriz Rodrigues";22169336000115;RECADASTRO;;Sim;Atendido;Produtiva;"SEM INTERESSE";"02/03/2026 15:35:02"
22999491364;01-Recadastro_02-03;;29159112000171;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:40:04"
34991310204;01-Recadastro_02-03;;48435019000197;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 15:38:31"
94981338154;01-Recadastro_02-03;;59601172000163;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:48:50"
11974744087;01-Recadastro_02-03;;60710564000140;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:40:04"
31988541916;01-Recadastro_02-03;;18838063000187;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 15:40:04"
